a	art.一(个，件，...)
interlunar	a. 看不见月亮期间的
intermarriage	n. 通婚,异族结婚,近亲结婚
intermarry	vi. 通婚,近亲结婚
intermeddle	vi. 干涉,管闲事,多嘴
intermediary	adj. 媒介的n. 中间人，媒介物
intermediary agency	中间机构
intermediary goods	半成品
intermediary middleman	中间人
intermediary trade	居间贸易，中间贸易
intermediate	a.中间的；中级的
intermediate account	中间帐户
intermediate agency	中间代理人
intermediate carrier	中间承运人
intermediate goods	中间货物
intermediate point	航空旅行中间站
intermediate ports	中途停泊港，中间港
intermediate products	中间产品
intermediate tax	中间税
intermediate trade	中间贸易
intermediator	仲裁人，居间者
interment	n. 埋葬,土葬
interminable	adj. 无尽头的
interminably	ad. 没完没了地
intermingle	v. 混合，搀杂
intermission	n. 暂停，间歇
intermit	vi. 暂时停止,中断
intermittent	adj. 断断续续的，间歇的
intermix	vt.vi. (使)混和,(使)混杂
intermixture	n. 混合,混合物
intermodal	联运方式
intermodal carrier	联合运输，联合承运人
intern	v. 拘禁，软禁；拘留；扣留 n. 实习生
internal	a.内的；国内的
internal debts	内债
internal packing	内包装
internal tax	国内税
internally	ad. 在内(部)
international	a.国际的，世界(性)的
international accounting	国际会计
international aid	国际援助
international airline	国际航空公司
international airport	国际机场
international auction	国际拍卖
international bank	国际银行
international banking	国际银行业务
international bidding	国际招标
international check	旅行支票
international claim	国际间债权，国外债权
international clearing	国际结算，国际清算
international commerce	国际贸易，世界贸易
international conventions	国际惯例
international cooperation	国际合作
international corporation	多国公司，跨国公司
international currency	国际货币
international debt	国际债务
international exchange	国际汇兑
international exhibition	国际展览会
international exposition	国际博览会
international marketing	国际销售
international relations	国际关系
international safeguards	国际保障措施
international sanctions	国际制裁
international trade	国际贸易
international transit	国际过境
international treaty	国际条约
international waters	国际海域
internationalist	,"n. 国际主义者；adj. 国际主义的
internationalization	n. 国际化
internationalize	vt. 使国际化,置于国际管理下
internecine	adj. 内讧的，两败俱伤的
internet	n.国际互连网
internment	n. 拘禁
inter-office account	公司(店)内往来帐户
interplay	n. 相互影响
interpolate	v. 加入(额外的事)，窜改
interpolation	n. 插入，窜改
interpool	n.国际联营
interpose	v. 置于…之间，使介入
interposition	n. 插入，干涉
interpret	vt.解释，说明；口译
interpretability	n. 配合动作性
interpretable	a. 彼此协作的
interpretation	n.解释；口译
interpreter	n.译员，口译者
interregnum	n. 无王时期，
interrelate	v.(使)相互联系；互相关连，相关
interrogate	v. 审问，审讯
interrogation	n. 审问,问号
interrogative	adj. 疑问的
interrupt	vt.打断(讲话)；打扰
interrupted	受阴
interruption	n.中断，打断；障碍物
intersect	v. 横截，横断
intersection	n. 横断，十字路口
intersperse	v. 散布，点缀
interstate	a. 州际的
interstellar	a. 星际的
interstice	n. 细裂缝，空隙
interstitial	a. 组织间隙的，间质的
intertwine	v. 纠缠，缠绕
intertwist	vt.vi. (使)绞合,(使)搓合
interurban	a. 都市间的
interval	n.间隔；休息；间距
intervene	vi.干涉，干预；播进
intervene in	干涉，干预
intervention	n. 干涉
intervention price	干预价格
interview	vt.采访
interviewee	n.被访问者；被面谈者；被面试者
interweave	v. 交织，编结
intestate	adj. 未留遗嘱的
intestinal	adj. 肠的
intestine	n. 肠
intimacy	n. 亲密，亲密的言行
intimate	a.亲密的；个人的
intimately	ad. 密切地；熟悉地
intimation	n. 暗示,讽示,通知
intimidate	v. 恐吓，协迫
intimidation	n. 恐吓
into	prep.进，入；进入到
intolerable	a. 无法忍受的,难耐的
intolerably	ad. 不能忍受的
intolerance	n. 不宽容,偏狭,不容许相反的言论
intolerant	adj.不容异已的
intonation	n.语调，声调；发声
intone	vt.vi. 吟咏
intoxicant	adj. 醉人的
intoxicate	v. 使醉，陶醉
intoxicating	adj. 令人陶醉的
intoxication	n. 使醉,沉醉状态,梦中
intra-bank transfer	银行间的转帐
intracellular	a. 细胞内的
intractable	adj. 倔强的，难管的
intransigence	n. 不妥协，不让步
intransigent	adj. 不妥协的，固执的
intransitive	n. 不及物动词
intra-trade	区域内贸易
intravenously	ad. 静脉注射地
intrepid	adj. 无畏的，刚毅的
intrepidity	n. 无畏
intricacy	n. 错综复杂
intricate	adj. 复杂难懂的
intrigue	v. 密谋，引起极大兴趣
intriguing	adj. 引起极大兴趣的
intrinsic	adj. 固有的，内在的
introduce	vt.提出(议案等)
introduction	n.介绍；引进；引言
introduction to	介绍；传入，引进；导言，导论
introductory	a. 介绍的,引导的,开端的
introspection	n. 内省，反省
introspective	adj. 反省的
introvert	v. 内向的人
intrude	v. 闯入，强行引入
intrude on	打扰，侵扰
intruder	n. 侵入者,干扰者,妨碍者
intrusion	n. 私闯，干扰
intrusive	a. 打扰的,插入的
intrust	vt. 信赖,信托,交托
intuition	n. 直觉,直觉的知识
intuitive	adj. 有直觉力的，直觉到的
intumescence	n. 肿大，肿胀
inundate	v. 淹没，泛滥
inundation	n. 淹没
inure	vt. 使习惯
inured	adj. 习惯的
invade	vt.入侵，侵略；侵袭
invader	n. 侵略者
invalid	n.病人 a.有病的
invalid clause	无效条款
invalidate	v. 使无效力，证明无效
invaluable	a. 无价的,价值无法衡量的
invariable	a. 不变的，永恒的
invariably	adv.常常，总是；不变地，永恒地；adj. 不变地，总是
invasion	n.入侵，侵略；侵犯
invation	n. 侵入，侵略，侵犯
invective	n. 猛烈抨击，痛骂
inveigh	vi. 痛骂,漫骂,臭骂
inveigle	v. 诱骗，诱使
invent	vt.发明，创造
invention	n.发明，创造
inventive	a. 善于创造的,发明的
inventor	n.发明者；发明家
inventoriable cost	产品成本
inventory	n. 详细目录，存货清单
inventory account	存货帐，盘存帐
inventory cutting	削减存货
inventory flow	存货流转
inventory item	库存项目
inventory recession	存货过多的经济衰退
inventory report	存货报告单
inventory table	盘存表
inverse	adj. 相反的，倒转的
inverse ratio	反比
inversely	adv. 相反地
inversely related	逆盯关
inversion	n. 倒转,否定,倒置
invert	v. 上下倒置，相反放置
invertebrate	n./adj. 无脊椎的（动物）
invest	vt.投资；投入
invest in	投资于
invested assets	投入资产
invested capital	投入资本，原有资本
invested cost	投入成本
investee	接受投资者
investigate	vt.&vi.调查
investigation	n.调查，调查研究
investigator	n. 研究者,调查者,审查者
investiture	n. 任职仪式，授权仪式
investment	n.投资，投资额，投入
investment appraisal	投资估价
investment assets	资金资产
investment bank	投资银行
investment banking	投资银行业
investment climate	投资环境
investment commitment	投资承诺
investment contract	投资合同
investment environment	投资环境
investment evaluation	投资评价
investment in kind	实物投资
investment income	土地投资
investment loan	投资收入
investment negative	投资放款
investment portfolio	负投资
investment risk	投资证券组合
investment schedule	投资风险
investment tax credit	投资课税减免
investor	n. 投资者
inveterate	adj. 积习已深的
invidious	adj. 惹人反感的，招人嫉妒的
invigilate	v. 监考
invigorate	v. 鼓舞，激励
invincible	adj.战无不胜的
inviolability	n. 神圣
inviolable	adj. 不可侵犯的，不可亵渎的.
inviolate	adj. 未受侵犯的，纯洁的
invisible	a.看不见的，无形的
invisible assets	无形资产
invisible balances	国际收支中的无形收支差额
invisible trade	无形贸易
invitation	n.请帖；邀请
invitation for bid	招标
invitation for offer	邀请发盘
invitation to tender	招标
invite	vt.邀请，聘请；招待
inviting	adj. 动人的；诱人的，引人入胜的；吸引人的
invocation	n. 祈祷
invoice	n.发票，发货清单
invoice amount	发票额
invoice approval	发票的核准
invoice cost	发票价
invoice duplicate	发票副本
invoice for purchase	进货发票
invoice for sales	销售发票
invoice of requisition	请购单
invoice of transfer	拨付凭单
invoke	v. 祈求，恳求，（法律的）实施生效.
invole in	卷入，包含
involuntarily	adv. 不自觉地
involuntary	a. 自然而然的,无意识的,不随意的,
involuntary bankruptcy	强制性破产清理
involve	vt.使卷入；牵涉
involved	adj. 涉及的，复杂的；有关的；有密切关系的
involvement	n. 卷入，涉足
invulnerable	adj. 无法伤害的
inward	a.里面的 ad.向内
inward bill	进口汇票
inward cargo	进口货
inward towage	进港拖轮费
inwardly	ad. 内向；独自地
inwards	adv. 向内的
inwrought	a. 织入的,刺绣的,嵌入的
iodide	n. 碘化物
iodine	n. 碘，碘酒
ion	n. 离子
Ionic	a. 离子的
ionosphere	n. 电离层
iota	n. 极小量，极少
IOU	(=I owe you)n.借据
iowa	n. 爱荷华(美国州名)
ipso jure	依法
iran	n. n. 伊朗(亚洲)
iranian	n. 伊朗人；a. 伊朗的
iraq	n. 伊拉克(亚洲)
iraqi	n. 伊拉克人；a. 伊拉克的
irascible	adj. 易发怒的.
irate	n. 发怒的
ire	n. 忿怒
ireful	adj. 愤怒的
Ireland	n.爱尔兰
iridescent	adj. 闪光的，现晕光的
iris	n. 虹膜，彩虹
Irish	adj.爱尔兰的
Irishman	n. 爱尔兰人
irk	v. 使苦恼，厌烦.
irksome	adj. 令人苦恼的，讨厌的
iron	n.铁；铁制品
iron ore	n. 铁矿石
ironclad	adj. 坚固的，装铁甲的
ironic	adj. 挖苦的，出乎意料的；讽刺的，冷嘲的
ironical	a. 讽刺的,用反语的
ironically	ad. 讽刺地；易人啼笑皆非地
ironsides	n. 铁甲军, 勇敢果断的人
ironworker	n.钢铁工人
ironworks	n. (用单或复)钢铁厂
irony	n. 反话，出人意料的事情或情况
irradiate	v. 使明亮，生辉
irradiation	n.照
irrational	a. 不合情理的
irreconcilable	adj. 不能妥协的，不能和解的
irrecoverable	a. 不能收回的,不能挽回的,不能复原的
irrecusable	法律上不可拒绝的
irrefragable	a. 不能反驳的,不能否定的,不可争辩的
irrefutable	adj. 不可辩驳的
irregular	a.不规则的；不整齐的
irregular endorsement	非正式签约
irregular tax	杂税
irregularity	n.不规则；不整齐
irregulars	等外品
irrelevant	a. 不恰当的,无关系的,不相干的
irremediable	a. 不能治疗的,不治的,不能挽回的
irreparable	adj. 无法修复的，不能挽回的
irrepressible	a. 镇压不住的,抑制不住的
irreproachable	adj. 不可指责的，无过失的
irresistible	adj. 无法抗拒的，无法抵抗的
irresolute	a. 无决断的,优柔寡断的,踌躇不定的
irresolution	n. 无决断,优柔寡断,无定见
irrespective	a.不考虑的，不顾的
irrespective of	不顾的，不考虑的
irresponsible	a. 不负责任的,不可靠的
irretrievable	a. 不能挽回的,不能复原的
irreverence	n. 不敬,非礼,不敬的行为
irreverent	adj. 不尊敬的
irrevocable	adj. 不能改变的，无法取消的
irrevocable and confirmed credit	不可撤消保兑信用证
irrevocable beneficiary	不能变更的受益人
irrevocable credit	不改变信用证
irrigate	vt.灌溉 vi.进行灌溉
irrigation	n.灌溉；冲洗法
irritability	n. 易怒,过敏性,兴奋性
irritable	adj. 易怒的，易受刺激的
irritate	vt.激怒；引起不愉快
irritating	a. 气人的
irritation	n. 刺激,烦恼,刺激物
irruption	 n. 突然冲入,入侵,闯入
is	n. 是；v. 是；be的第三人称单数；vi. 是
is that so?	是这样吗？
is zhang ling in?	张玲在家吗？
isinglass	n. 鱼胶,明胶,云母
Islam	n.伊斯兰教，回教
island	n.岛；岛状物
islander	n. 岛人,岛民
isle	n.岛；小岛
islet	n. 小岛
isn't	不是；(同)is not(口)不是
isolate	vt. 使隔离，使孤立；隔开，绝缘
isolation	n. 隔绝,孤立,隔离
isoquant curve	等量曲线
isosceles	a. 二等边的
isotherm	n. 等温线
isotope	n. 同位素
isoutility curve	等效用曲线
Israel	n. 以色列,以色列的后裔,犹太人
issuance	发给，发行，开具
issuance price	证券发行价格
issue	n.问题；发行 vt.发行
issue a drawback	发还退税
issue a policy	出立保单
issue a warrant	签发凭单
issue bank	发行银行
issue credit	开支票
issue from	由…引起；产生于
issue in	导致；造
issue of money	发行货币
issue ticket	开票，签发机票
issuing bank	开证银行，发行银行
issuing date	开出日期
istanboul	n. 伊斯坦布尔
isthmus	n. 地峡
it	pron.它
it doesn't matter.	没有关系。
it happened that	碰巧
it is a matter of...	这是…的问题
it is the same as	和…一样
it just depends	这要看情况而定
it seems to me	在我看来
it won't do to...	这样做不行
Italian	adj.意大利的
italic	adj. 斜体的
italicize	vt. 用斜体字印刷
italics	n. 斜体字
Italy	n.意大利
itch	n. 痒,渴望,疥癣
item	n.条，条款；一条
item of accounts	帐目
item of expenditure	支出项目
item of payment	支付项目
item of tax	税目
itemize	vt. 分条缕述,详细列举
iterate	v. 重做，反复重申
iteration	n. 重复,反复,复诵
iterative	a. 迭代的
itinerant	adj. 巡回的，流动的
itinerary	n. 行程表，旅行路线
its	pron.它的
it's	(同)it is；it has
it's raining.	正在下雨。
it's time for	是…的时候了。
it's time to get up.	(是)该起床(的时候)了
it's time to play.	是玩的时候了。
it's very kind of...	谢谢…；…太好了
it's your turn now.	现在轮到你了。
itself	pron.它自己；自身
i've	(同)i have
ivory	n.象牙；牙质；乳白色
ivory work	n. 象牙工艺品
ivy	n. 常春藤
j curve	j形曲线
jab	vt.vi. 刺,戳,猛击
jabber	v. 快而不清楚地说
jabot	n. 胸部装饰
jack	n.起重器；传动装置
jack pot	彩票头奖
jackal	n. 狐狼,帮凶,走狗
jackass	n. 公驴,愚蠢的人,傻瓜
jackdaw	n. 寒鸦
jacket	n.短上衣，茄克衫
jackie	杰基(男名)
jade	n. 疲惫的老马，玉，翡翠
jaded	adj. 疲惫的，厌倦的
jag	n. 缺口,突出端,小量负荷,小伙子
jagged	adj. 锯齿状的，不整齐的
jaguar	n. 美洲虎
jail	n. 监狱；看守所vi. 监禁；vt. 监禁
jailer	n. 看守监狱的人,狱卒
jailor	n. 看守监狱的人,狱卒
jam	n.堵塞 vt.使…堵塞
jam with	v. & n. 拥挤；轧伤；果酱；v. 轧住不动，塞满
jamb	n. 门窗的侧柱
jamboree	n. 快乐，喧闹的集会
james	n. 詹姆斯(男名)
jan.	n. 一月
jane	n. 简(女名)
jangle	vi.vt. 吵架,(使)发出刺耳声
janitor	n. 管理员，管门人
January	n.一月
Japan	n.日本，日本国
Japanese	a.日本的 n.日本人
jar	n.坛子；罐子；缸
jargon	n. 行话
jasmine	n. 茉莉,淡黄色
jasper	n. 碧玉,绿色装饰用宝石
jaundice	n. 黄疸,偏见,乖僻
jaundiced	adj. 有偏见的
jaunt	v. 短程旅游
jaunty	adj. 愉快的，满足的
javelin	n. 标枪
jaw	n.颚；上下颚，口部
jawbone	信用；赊买借贷
jawboning	劝说
jaws	n. 危险的境遇
jay	n. 鸟,喋喋不休的人,傻瓜
jaywalk	vi. 擅自穿越马路
jazz	n.爵士音乐，爵士舞曲
jazzy	adj. 吸引人的，花哨的
jealous	a.妒忌的；猜疑的
jealous of	嫉妒；妒忌的；猜疑的，警惕的
jealousy	n.妒忌，嫉妒，猜忌
jean	n.斜纹布，牛仔裤
jeanne	让娜(女名)
jeanne forrestier	让娜·福雷斯蒂埃
jeans	n. 斜纹布裤子，牛仔裤；斜纹布，(pl.)工装裤
jeep	n. 吉普车；小型越野汽车
jeer	v. 嘲笑
jejune	adj. 空洞的，不成熟的
jell	v.凝结；成
jelly	n.冻，果子冻；胶状物
jellyfish	n. 海蜇
jenkins	詹金斯(姓)
jennet	n. 西班牙种小马
jenny	(女名)詹妮
jeopardise	vt.使受危害，使陷险境
jeopardize	v. 危及，危害
jeopardy	n. 危险
jeremiad	n. 长篇声讨文字，哀叹
jerk	vt.猛地一拉 vi.急拉
jerkily	adv. 颠簸地
jerkin	n. 男用无袖短上衣,短上衣
jerky	a. 急动的
jerque	检查
jerque note	结关单
jersey	n. 毛织运动衫；毛线衫
Jerusalem	n. 耶路撒冷
jest	n./v. 说笑，玩笑
jester	n. 讲笑话的人,小丑
jesting	adj. 滑稽的，好笑的
Jesus	n.耶稣
jesus christ	n. 耶稣基督
jet	n.喷射；喷气发动机
jet aeroplane	n. 喷气式飞机
jet aircraft	n. 喷气式飞机；喷气客机
jet lag	时差反应
jettison	v. 向外抛弃，n. 抛弃的货物
jetty	n. 突堤,防波堤,码头
Jew	n.犹太人
jewel	n.宝石；宝石饰物
jeweler	n. 宝石商
jewelery	n.珠宝
jeweller	n.珠宝商
jewellery	n.珠宝，珠宝饰物
jewelry	n. (总称)珠宝；(集合词)珠宝(饰物)
Jewish	a.犹太人的
jib	v. 踌躇不前
jibe	n. 奚落；v. 与...一致，符合
jiffy	 n. 亦作jiff.『俗』顷刻; 瞬间; 刹那
jig	n. 快步舞,快步舞曲,带锤子的钓钩,
jiggle	vt. & vi. 轻轻摇晃
jigsaw puzzle	n. 拼板玩具；拼图游戏
jill	n. 少女；情人
jilt	v. 抛弃，遗弃（情人或恋人）
jim	吉姆(男名)
jingle	vt.&vi.(使)丁当响
jingo	n. 侵略主义,沙文主义
jingoism	n. 沙文主义，侵略主义
Jiulong Hotel	九龙饭店
joan	琼(女名)
job	n.工作
job hunting	求职
job interview	求职面谈
jobber	n. 批发商,股票经纪人
jobbery	假公济私
jobholder	n.有固定职业者；公务员，政府雇员
job-hop	经常转换职业
job-hunter	求职者
jobless	adj. 失业的
jobs	工作
jockey	n. 赛马的骑师,停车,操作工
jocose	adj. 开玩笑的，引人发笑的
jocular	a. 诙谐的
jocularity	n.滑稽,诙谐
jocund	adj. 快乐的，高兴的
joe	乔(男名)
jog	vt.使(马等)缓步行进
jogging	n.慢跑
john	n. 约翰(男名)
john baird	约翰·贝尔德
john churchman	约翰·邱奇门(人名)
john denver	约翰·丹佛(美国歌手)
johnson	约翰逊(姓)
johnsy	n. 约翰西(人名)
join	vt.加入
join forces	联合力量
join hands with	互相合作，携起手来
join in	参加(活动)
join the army	参军
join the party	入党
join the young pioneer	入队
join up	连接起来；联合起来；参军，入伍；连结起来
join...to...	把…和…连接起来
joiner	n. 结合者
joint	n.接头，接缝；关节
joint account	共同帐户
joint adventure	合资经营，联合短期投资
joint board	联合委员会
joint contribution	共同出资
joint credit	连带债权；联合信贷
joint debt	连带债务
joint journal	日记帐
joint mortgage	联合抵押
joint note	共同票据
joint owner	联合船东，合伙人
joint participation	合股
joint stock	共同资本
joint venture	合资企业，合资公司；共同投资
joint...to...	把…和…连结起来
joist	n. 托梁,桁
joke	n.笑话 vi.说笑话
jollity	n. 快乐，欢乐
jolly	a.快活的；令人高兴的
jolt	n. 颠簸，震摇
jonn h·glenn	约翰·h小格伦
jordan	n. 约旦(亚洲)
jostle	vt. 挤，推；搅扰；同...竞争
jot	n. 少量,少额,稍许
journal	n.日报，杂志；日志
journalism	n. 新闻业,报章杂志
journalist	n.记者，新闻工作者
journey	n.旅行，旅程，路程
journeyman	n. (学徒期满而熟练的) 工人
joust	v. 马上长枪比武，竞争
jove	n. (罗神)(同)jupiter
jovial	adj. 快活的
jowl	 (C) 
joy	n.欢乐；高兴
joyance	n. 喜悦
joyful	a.十分喜悦的，快乐的
joyfully	ad. 高兴地，快乐地
joyless	a. 不高兴的,不快乐的
joyous	a. 充满快乐的
joyously	ad. 快乐地，高兴地
jubilant	adj. 喜悦的，欢呼的
jubilation	n. 喜悦，欢呼
jubilee	n.周年纪念; 庆典; 佳节
Judaism	n. 犹太教,犹太教徒,犹太主义
Judas	犹大
judge	n.法官
judgement	n.意见；审判；判断
judging by	从…判断
judgment	n. 判断
judgment creditor	判决确实债权人
judgment debt	经判决的债务
judgment payable	判决应付款
judicial	adj. 法庭的，法官的
judicial action	诉讼
judicial person	法人
judicial practice	司法程序
judicial security	法院判决指定的担保
judiciary	a. 司法的,法院的,法官的
judicious	adj. 有判断力的，明智的
judo	n. 柔道
jug	n.大壶
juggernaut	n. 摧毁一切的，强大力量
juggle	vt. 变戏法
juggler	n. 变戏法者,行骗者
juice	n.(水果等)汁，液
juicy	a. 多汁液的,生动的,多水分的
July	n.七月
jumble	n./v. 揉杂，混杂
jumbo	a.巨大
jump	vi.跳；暴涨 vt.跳过
jump at	急忙接受，立即抓住；急欲得到
jump off	跳离；开始，开始进攻；跳下
jump onto	跳到…上
jump sb. out	叱责某人
jump the queue	不按次序排队；加塞
jump the track	开小差
jump to a conclusion	草率决定
jumper	n. 跳跃者,工作服
jumping	a. 跳跃的
jumpy	ad. 激动而紧张的；adj. 神经过敏的
junction	n.连接；接头；中继线
juncture	n. 接合,连接,接缝
June	n.六月
jungle	n.丛林，密林
junior	n.年少者；晚辈
junior accountant	初级会计员
junior bond	低级债券
junior mortgage	低级抵押权
juniper	n. 杜松属
junk	n.废弃的旧物；旧货
junk art	废料艺术品
junk dealer	废口商，旧货商
junk food	通常认为不利健康的小吃
junk price	赔本价钱
junk value	废料价值，残值
junket	vi. 用公费游山玩水,设宴
juno	n. (罗神)朱诺
junta	n. 秘密结社；私党
junto	n. 私党,秘密结社,阴谋团体
jupiter	n. 木星；(罗神)朱庇特
jurisdiction	n. 司法权,审判权,管辖权
jurisdiction clause	适用法院条款
jurisprudence	n. 法律学，法学
jurist	n. 法学家,法理学者,法律著作家
juror	n. 陪审员
jury	n.陪审团；评奖团
juryman	n. 陪审团
jus	(拉)法；废物，破料货
jus civile	民法
jus criminal	刑法
jus gentium	国际法
jus legitimum	合法权利
jus scriptum	成文法
just	adv.正好，恰好
just a moment	等一会儿
just about	差不多，几乎
just as	正象；正当…的时候
just claim	有根据的债权
just compensation	正当补偿
just now	刚才；现在，眼下；不久以前
just the same	完全一样
just then	正在那时；正在那进
just yet	恰好现在
justice	n.正义，公正；司法
justifiable	adj. 有理由的，无可非议的
justifiably	ad. 无可非议地
justification	n. 辩护,证明正当,释罪
justified	a. 正当的，合理的
justify	vt.证明…是正当的
justite ombudsman	n. 国会司法物派员
justle	n. 推挤,冲撞vi. 推挤,冲撞
justly	ad. 应得地；公正地；正当地
jut	v. 突出，伸出
jute	n. 朱特人,朱特族,黄麻
juvenile	adj. 少年的，似少年的
juxtapose	v. 并排，并置
juxtaposition	n. 并排
kail	n.甘蓝类蔬菜
Kaiser	n. 皇帝
kale	n. 无头甘蓝类,甘蓝类蔬菜,甘蓝汤
kaleidoscope	n. 万花筒
kaleidoscopic	adj. 千变万化的
kaleidoscopic packaging	万花筒式包装，花哨包装
kangaroo	n. 袋鼠
kansas	n. 堪萨斯(州)(美国)
karate	n. 空手道
karl marx	卡尔·马克思
karl von frisch	卡尔·冯·弗里士
kate	凯特(女名)
kate's	凯特的
kathy	(女名)凯茜
katydid	n. 纺织娘
kay	凯(姓)
kayak	n. 爱斯基摩独木舟，小船
keel	n. 龙骨,平底船
keen	a.热心的；激烈的
keen about	迷于
keen on	热心的，渴望的
keenly	ad. 敏锐地；强烈地
keenness	n. 锐利,尖锐,敏感
keep	vi.保持；坚持
keep a contract	遵守合同
keep a record	作记录
keep a rein over	控制
keep aboriginal	保持原始价格
keep account with	与…开有帐户
keep accounts	记帐
keep an appointment	如约
keep an eye on	照看；留意；注意，监视
keep at	坚持(做)；使不停地做
keep at sth	不断地做
keep away	离开，避开，不使接近；站开；使离开
keep away from	远离，回避
keep back	留在后面；阻止；隐瞒；保留，阻止…向前；拒绝购买，禁止购买；抑制
keep back one's tears	忍住眼泪不流下来
keep books	记帐
keep clear of	不接触；避开
keep company with	与…交往；和…亲热；伴随
keep dark	保守秘密
keep doing something	不断地做某事
keep down	控制；压服；缩减开支；限制，使不增加；压缩，压制，镇压
keep down expense	缩减开支
keep dry	切勿受潮
keep early hours	早睡早起
keep faith	守信，忠于信仰
keep fit	保持健康
keep flat	必须平放
keep friends with	与…保持友好
keep from	阻止；使免于；隐瞒；使…不做
keep healthy	保持健康
keep house	管理家务；做家务
keep in hold	装入舱内
keep in mind	记住
keep in money	垫钱
keep in stock	库存
keep in touch	保持联系
keep in touch with	与…保持联系
keep in with sb	与(某人)保持友谊
keep it up	继续下去而不松弛
keep off	避开；不让…接近；使不接近，使让开
keep on	继续(做某事)；反复；继续进行，反复地做；继续不断；持续不断
keep on doing sth	继续做某事
keep on doing sth.	继续(做某事)
keep on good terms	保持友好关系
keep one's balance	保持(身体)平衡
keep one's eyes open	留心看着；保持警惕
keep one's head	保持镇静
keep one's mind on	专心于
keep one's temper	忍住性子
keep one's word	守信用，遵守诺言
keep out	把…挡在外面
keep out of	躲开，(使)置身…之外
keep pace with	与…齐步前进
keep point	要点
keep sb down	压制
keep sb on	继续雇佣某人
keep sb out of	不让入内
keep sb up	使迟睡
keep silence	保持沉默，不讲话
keep silent	保持沉默
keep sth from	不让他人知道，留下
keep sth in mind	记住
keep sth on	穿着
keep sth to oneself	不让他人分享
keep sth. secret	把某事保守秘密
keep terms with sb.	同某人交往
keep the balance of nature	保持自然界的平衡
keep to	坚持；固守(习惯等)；保持
keep to oneself	保守秘密，不与人来往
keep to sth	履行诺言，限制自己
keep to the beaten track	循规蹈矩
keep track	通晓事态，注意动向
keep under	压制；控制
keep up	坚持；不使(斗志)低落；保持；维持；继续；继续进行
keep up with	v. 跟上；不落后；向…看齐，赶上
keep watch	守望；值班；放哨
keep...from	使…不
keep...from...	v. 阻止；避开
keep...out	不让…进来
keep...out of...	使…不进入…；使…置身于…之外
keep/hold pace with	跟上，与…同步
keeper	n.看护人；饲养员
keeping	n. 保管,供养,一致
keepsake	n. 纪念品
keg	n. 小桶
ken	n. 知识，眼界
kennel	n. 狗舍，狗窝
kent	肯特(英格兰一郡)
kentucky	n. 肯塔基(美国州名)
Kenyan	a.肯尼亚的；肯尼亚人的
kept	keep的过去式(分词)；保持
kerb	非正常交易所，场外
kerb close	场外收盘价
kerb levels	场外价格水平
kerchief	n. 头巾,围巾,手帕
kern	计算机] 紧排
kernel	n.(果实的)核；谷粒
kerosene	n.煤油
ketch	n. 一种双桅船；一种双轮船
ketone	n. 酮
kettle	n.水壶，水锅
kettledrum	n. 半球形铜鼓,午后茶会
key	n.钥匙
key contract	关键契约
key currencies	主要货币
key ledger	主要分类帐
key to	答案
keyboard	n.键盘
keycard	钥匙牌
keyed	a. 键控的
keyhole	n. 键孔,栓孔,锁眼
keynote	n. 主调音,基音,基调
keypad	n. 小键盘
keys	钥匙
keystone	n. 拱心石,楔石,重点
keyword	n. 关键字(词)
khaki	a. 卡其色的,土黄色的
khan	n. 可汗,商队的宿店
kibe	n. 冻疮,蹦裂
kick	vi.&vt.&n.踢
kick a habit	去除、改正(坏)习惯
kick of shoe	脱鞋
kick off	踢脱(鞋子等)；踢掉(鞋子等)
kick...out	把…踢出去
kickback	回扣，佣金
kicking	捐助
kickoff	解雇，撤职
kickshaw	n.精致的开胃菜肴
kid	n.小孩，儿童，少年
kidd	吻
kidnap	vt.绑架,诱拐,拐骗
kidnaper	n. 绑架者
kidnapper	n. 拐子，绑架者
kidney	n.肾，腰子；性格
kill	vt.杀死
kill off	消灭，杀光
kill time	打发时光
killer	n. 杀生者,杀人者; 职业杀手
killing	赚大钱
kiln	n. 窑，窑房
kilo	n. 公斤公里之略
kilobyte	n. 千字节(kb)
kilocalorie	n. 千卡，大卡
kilogram	n.千克，公斤
kilogramme	n.千克，公斤
kilolitre	千升
kilometer	n. 公里
kilometre	n.千米，公里
kilovolt	n. 千伏
kilowatt	n.千瓦(特)
kilt	n. 苏格兰式短裙
kimono	n. 和服,妇女穿着的宽大晨衣
kin	n. 亲戚,同族,血缘关系,家族
kind	adj.仁慈的；和蔼的
kind of	(状语)有点儿，有几分
kindergarten	n. 幼稚园
kind-hearted	adj. 好心的
kindle	vt.点燃 vi.着火
kindliness	n. 亲切,慈爱,亲切的行为
kindling	n. 引火物
kindly	a. 和蔼的,温和的,爽快的
kindly remit	请即付款
kindness	n.仁慈，好意
kindred	n. 家族,相似,亲戚关系
kinds	种类
kinds of	各种各样的
kinescope	n. 显像管
kinetic	a.动力(学)的；活动的
kinetics	n. 动力学
king	n.国王，君主
kingdom	n.王国；领域，界
kingfisher	n. 鱼狗,翠鸟
kingly	a. 国王的,高贵的,威严的
kingship	n. 君主身分,王位,王权
kink	n. 纽结,蜷缩,颈
kinsfolk	]亲戚,血族
kinship	n. 血族关系
kinsman	n. 男亲属
kiosk	n. 售货亭，电话亭
kip	旅店
kirk	n. 教会,苏格兰教会
